
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1092
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       6324
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       10588
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1016
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       844
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1388
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1852
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2840
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       988
  TCP    127.0.0.1:1594         0.0.0.0:0              LISTENING       864
  TCP    127.0.0.1:28385        0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:28390        0.0.0.0:0              LISTENING       4
  TCP    172.26.240.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.0.3:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.0.3:49235      52.204.181.9:443       ESTABLISHED     9264
  TCP    192.168.0.3:49655      140.82.113.22:443      TIME_WAIT       0
  TCP    192.168.0.3:49657      140.82.114.26:443      ESTABLISHED     9264
  TCP    192.168.0.3:49748      108.158.186.8:443      ESTABLISHED     9264
  TCP    192.168.0.3:50226      192.16.48.200:443      TIME_WAIT       0
  TCP    192.168.0.3:50229      40.71.11.167:443       ESTABLISHED     16328
  TCP    192.168.0.3:50231      20.189.173.17:443      ESTABLISHED     16328
  TCP    192.168.0.3:50233      192.16.48.200:443      TIME_WAIT       0
  TCP    192.168.0.3:50413      20.110.205.119:443     ESTABLISHED     9264
  TCP    192.168.0.3:50477      104.192.142.12:443     ESTABLISHED     9264
  TCP    192.168.0.3:50498      20.42.72.131:443       TIME_WAIT       0
  TCP    192.168.0.3:50588      68.67.153.38:443       CLOSE_WAIT      9264
  TCP    192.168.0.3:50614      20.44.229.112:443      ESTABLISHED     8116
  TCP    192.168.0.3:50618      20.44.229.112:443      ESTABLISHED     8116
  TCP    192.168.0.3:50635      185.199.108.154:443    ESTABLISHED     9264
  TCP    192.168.0.3:50648      20.201.28.151:443      CLOSE_WAIT      9264
  TCP    192.168.0.3:50649      20.201.28.148:443      ESTABLISHED     9264
  TCP    192.168.0.3:50650      140.82.113.22:443      ESTABLISHED     9264
  TCP    192.168.0.3:59323      172.171.136.114:443    CLOSE_WAIT      7964
  TCP    192.168.0.3:59400      20.127.250.238:443     ESTABLISHED     9264
  TCP    192.168.0.3:60652      108.158.186.118:443    ESTABLISHED     9264
  TCP    192.168.0.3:61143      138.197.92.131:443     CLOSE_WAIT      864
  TCP    192.168.0.3:61149      172.64.145.29:443      CLOSE_WAIT      864
  TCP    192.168.0.3:61150      172.64.145.29:443      CLOSE_WAIT      864
  TCP    192.168.0.3:61151      172.64.145.29:443      CLOSE_WAIT      864
  TCP    192.168.0.3:61152      172.64.145.29:443      CLOSE_WAIT      864
  TCP    192.168.0.3:63376      69.173.151.96:443      ESTABLISHED     9264
  TCP    192.168.0.3:64639      99.84.31.113:443       ESTABLISHED     9264
  TCP    192.168.0.3:65242      20.189.173.11:443      ESTABLISHED     9264
  TCP    192.168.0.3:65256      204.79.197.203:443     ESTABLISHED     9264
  TCP    192.168.0.3:65257      13.89.179.13:443       ESTABLISHED     9264
  TCP    192.168.0.3:65470      35.208.249.213:443     ESTABLISHED     9264
  TCP    192.168.0.3:65533      34.95.69.49:443        ESTABLISHED     9264
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1092
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:7680              [::]:0                 LISTENING       10588
  TCP    [::]:49664             [::]:0                 LISTENING       1016
  TCP    [::]:49665             [::]:0                 LISTENING       844
  TCP    [::]:49666             [::]:0                 LISTENING       1388
  TCP    [::]:49667             [::]:0                 LISTENING       1852
  TCP    [::]:49668             [::]:0                 LISTENING       2840
  TCP    [::]:49670             [::]:0                 LISTENING       988
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:49622  [2606:4700:10::6816:2b80]:443  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50499  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50500  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50501  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50502  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50503  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50504  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50505  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
  TCP    [2804:14d:a482:96f2:e8e4:e7e0:8bea:8566]:50506  [2804:14d:1:0:181:213:132:3]:53  TIME_WAIT       0
